id	dialog	joy	sadness	trust	disgust	fear	anger	surprise	anticipation
0	also I was the point person on my companys transition from the KL-5 to GR-6 system.	1	0	0	0	0	0	1	1
1	You mustve had your hands full.	1	0	0	0	0	0	0	1
2	That I did. That I did.	0	0	0	0	0	0	0	0
3	So lets talk a little bit about your duties.	1	0	1	0	0	0	0	0
4	My duties?  All right.	1	0	1	0	0	0	0	0
5	Now youll be heading a whole division, so youll have a lot of duties.	0	1	0	1	0	0	0	1
6	I see.	0	0	0	0	0	0	0	0
7	But therell be perhaps 30 people under you so you can dump a certain amount on them.	0	0	0	1	0	0	0	0
8	Good to know.	1	0	0	0	0	0	0	0
9	We can go into detail	1	0	0	0	0	0	1	0
10	No dont I beg of you!	0	1	0	1	1	0	0	0
11	All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.	1	0	0	0	0	0	0	1
12	Really?!	0	0	0	0	0	0	0	0
13	Absolutely.  You can relax	1	0	1	0	0	0	0	0
14	But then who? The waitress I went out with last month?	1	0	0	0	0	0	0	1
15	You know? Forget it!	0	1	0	0	0	0	0	0
16	No-no-no-no, no! Who, who were you talking about?	0	1	0	1	1	1	0	0
17	No, I-I-I-I don't, I actually don't know	0	0	0	0	0	0	0	0
18	Ok!	1	0	1	0	0	0	0	0
19	All right, well...	1	0	0	0	0	0	0	0
20	Yeah, sure!	1	0	1	0	0	0	0	0
21	Hey, Mon.	0	0	0	0	0	0	0	0
22	Hey-hey-hey. You wanna hear something that sucks.	0	0	0	1	0	0	0	0
23	Do I ever.	0	0	0	0	0	0	0	0
24	Chris says theyre closing down the bar.	0	1	0	0	1	1	0	0
25	No way!	0	0	0	0	0	1	0	0
26	Yeah, apparently theyre turning it into some kinda coffee place.	1	0	1	0	0	0	0	0
27	Just coffee! Where are we gonna hang out now?	1	0	0	0	0	0	1	0
28	Got me.	0	0	0	0	0	0	0	0
29	Can I get a beer.	0	0	0	0	0	0	0	0
30	Hey, did you pick a roommate?	1	0	1	0	0	0	0	0
31	You betcha!	0	0	0	0	0	0	0	0
32	Is it the Italian guy?	0	0	0	0	0	0	0	0
33	Um-mm, yeah right!	1	0	1	0	0	0	0	0
34	Oh my God, oh my God! Poor Monica!	0	0	0	0	1	1	0	0
35	What, what, what?!	0	0	0	0	0	0	0	0
36	What?!	0	0	0	0	0	0	0	0
37	He was with her when he wrote this poem.	1	0	1	0	0	0	0	0
38	Look,  'My vessel so empty with nothing inside.	0	1	0	1	0	0	0	1
39	Now that I've touched you, you seem emptier still.'	1	0	0	0	0	0	1	0
40	He thinks Monica is empty, she is the empty vase!	0	1	0	0	0	0	0	1
41	Oh, totally. Oh, God, oh, she seemed so happy too.	1	0	0	0	0	0	1	0
42	Done.	0	0	0	0	0	0	0	0
43	Hey!	0	0	0	0	0	0	0	0
44	Hi!	0	0	0	0	0	0	0	0
45	What are you doing here?	0	0	0	0	0	0	0	0
46	Ah y'know, this building is on my paper route so I...	1	0	1	0	0	0	0	0
47	Oh.	0	0	0	0	0	0	0	0
48	Hi.	0	0	0	0	0	0	0	0
49	Hi.	0	0	0	0	0	0	0	0
