id	text	emotions
0	Yes, me. Okay, okay here we go.	ecstasy calmness	
1	Okay, so filled out all these forms  --	ecstasy delight	
2	This is... Your last- Your first name is Jones?		
3	Well...	pleasantness eagerness	
4	What are you... what's...What are you applying for?		
5	I'm just applying for another ID.		
6	Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...	grief disgust	
7	I have it right here, yes.	ecstasy delight	
8	No, I need your ID to give you a second ID.		
9	It's really simple if you have a problem with it... Maybe you should--	anger fear	
10	But that's...		
11	Well, do you have your passport?	pleasantness eagerness	
12	You have a birth certificate?	ecstasy	
13	Probably.		
14	You're very helpful.  What's your name?	delight	
15	Joy.	joy	
16	Hi, Joy.	joy	
17	Hi.   You know...		
18	Okay. [BREATHING]	ecstasy enthusiasm	
19	I need California ID.		
20	Okay.	serenity	
21	On top of these other two forms of ID which I already have.	ecstasy delight	
22	What... well, do you have a driver's license?	bliss pleasantness	
23	No, I don't have driver's license.	disgust anger	
24	Then how am I supposed to give you a California ID?	grief disgust	
25	Did you even look at the form?  I filled it out all these questions--	bliss ecstasy	
26	Don't raise your voice with me.	calmness	
27	Okay.	serenity	
28	I have been to California my whole--		
29	Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.	fear sadness	
30	I am not...I'm not getting to back that line.		
31	Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match.	serenity acceptance	
32	I'm perfectly calm.	delight bliss	
33	I did not come in here to get in a yelling match with you, all right?	ecstasy calmness	
34	Just try and help me.	grief terror	
35	Why?	annoyance	
36	Why?	annoyance	
37	Yeah.	serenity	
38	So you're not going to send me a thank you card, is that a problem? Is your are not going...	acceptance	
39	Why, because I'm sick of talking to you.	loathing grief	
40	'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.	None	
41	Oh, dear. Oh, boo-foo-woo, foo-foo.	grief	
42	Sit back down.	terror loathing	
43	Hey, Joy come in here.	joy	
44	What's happening?	terror loathing	
45	I have to go back.	ecstasy delight	
46	I just got a letter I have to go back.	ecstasy delight	
47	When?		
48	First thing tomorrow morning.		
49	Are you kidding me?	enthusiasm delight	
50	I don't understand, I don't underst--	contentment responsiveness	
51	How can they do that?		
52	They can do it.	ecstasy bliss	
53	They said you're home for at least four years.	calmness	
54	I guess they can do it,	ecstasy bliss	
55	The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.	ecstasy pleasantness	
56	That's not fair.	dislike	
57	I can't believe it. I just got back.	ecstasy delight	
58	[BREATHING]	ecstasy enthusiasm	
59	...we're all shipping out.		
60	I just got I feel like I'm in shock actually.	anger	
61	I don't know.		
62	What about the birthday party?	ecstasy enthusiasm	
63	I guess you're just going to have to have it without me.	dislike	
64	Hey listen, it's going to be okay though, all right?	grief anger	
65	You're going to be fine.	pleasantness	
66	Me?  I'm not worried about me.	responsiveness	
67	I'm going to be fine too, okay?	pleasantness serenity	
68	How do you know?		
69	I know I have a good... I have a really good group of guys with me.	pleasantness	
70	We're going to be okay.	serenity	
71	You're going with the same ones?	ecstasy delight	
72	Do promise me you're going to take a lot of pictures.	enthusiasm	
73	It's not the same though.		
74	I just wish there was something I could do.		
75	I really don't want to go, I don't want to go...		
76	[LAUGHTER] Mmm.	enthusiasm delight	
77	I'm scared.	fear	
78	I'll send you a letter every single day.	ecstasy delight	
79	I love you.	joy	
80	I love you too.	joy	
81	The craziest thing just happened to me.	dislike	
82	What?		
83	Why?	annoyance	
84	Well, she's not a citizen so she wants to get a visa.	pleasantness eagerness	
85	Is she on the run?		
86	No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.	ecstasy delight	
87	Oh, she just needs to marry you.	annoyance	
88	That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.	delight eagerness	
89	That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?	dislike	
90	She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask.	disgust fear	
91	That's so cool. Uh huh.	anger	
92	[LAUGHTER] Why did she pick you? Where were you?	enthusiasm pleasantness	
93	Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...	rage disgust	
94	You were at a party? And she's like hey. You seem unattached she's like.	enthusiasm	
95	Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...	grief terror	
96	Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...	ecstasy enthusiasm	
97	Have you?		
98	It's like I'm really going to get married. We'll have like the whole thing.	ecstasy delight	
99	Oh, good. [LAUGHTER]	enthusiasm delight	
100	I know. What do you think I should-		
101	Oh good idea.	ecstasy pleasantness	
102	Yeah.  Make her like open the bank account and stuff too.	pleasantness serenity	
103	Yeah.	serenity	
104	Dude, you lucked out.	ecstasy delight	
105	I know.  Also I get to like plan the wedding now too. That will be fun.	pleasantness joy	
106	Yeah.  My colors are blush and beige what is it, do you know?	anxiety	
107	Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?	disgust	
108	Oh I don't know. [LAUGHTER]	enthusiasm delight	
109	I don't know get it in cash.	ecstasy bliss	
110	Just cash hardcore.	ecstasy enthusiasm	
111	How exciting. You should have a wedding on the beach.	eagerness joy	
112	Yeah, like a big like- A wedding on the beach, that would be nice.	ecstasy pleasantness	
113	Yeah, at night.	serenity	
114	And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.	enthusiasm calmness	
115	Oh yeah, absolutely, absolutely.	serenity	
116	How exciting.  You should make her bring all your friends too.	joy	
117	Incredible.	enthusiasm delight	
118	you're a lucky, lucky, lucky man.	ecstasy delight	
119	Will you help me plan?	grief terror	
120	Oh, totally. Yeah.	serenity	
121	Good.	pleasantness	
